rank,city,state,population,latitude,longitude
8839,Laflin,PA,1440,41.2889696,-75.8054718
8840,Cresson,TX,1439,32.5305926,-97.6172232
8841,Gridley,IL,1439,40.7433682,-88.8814578
8842,Weldon,NC,1438,36.4214765,-77.6184209
8843,Trafalgar,IN,1438,39.4161604,-86.150823
8844,Manawa,WI,1438,44.4644255,-88.919829
8845,Winchester,MO,1438,38.5903311,-90.5279
8846,Tylertown,MS,1437,31.1160119,-90.1420331
8847,Fayette,MS,1437,31.7115169,-91.0606607
8848,Hebron,NE,1436,40.166393,-97.585875
8849,Mishicot,WI,1436,44.239162,-87.6411949
8850,Wiggins,CO,1435,40.2283289,-104.0734423
8851,Wayne,WV,1435,38.2214748,-82.4423747
8852,St. Regis Park,KY,1434,38.2302255,-85.61475918
8853,Audubon Park,KY,1433,38.2039592,-85.7252394
8854,Olivet,MI,1433,42.4414273,-84.9241542
8855,Maple Park,IL,1433,41.9075282,-88.5992494
8856,Hampton,NJ,1433,40.7070446,-74.9560032
8857,Kalida,OH,1432,40.983697,-84.1910046
8858,Elephant Butte,NM,1432,33.1975054,-107.2241595
8859,Logan,WV,1432,37.8487778,-81.9932151
8860,Bangor,WI,1432,43.8930218,-90.9904109
8861,Fall Creek,WI,1431,44.7635717,-91.2770993
8862,Forreston,IL,1431,42.1284548,-89.57796357
8863,Cedarville,AR,1430,35.5698087,-94.3668792
8864,Interlachen,FL,1430,29.6238574,-81.8903684
8865,Appalachia,VA,1430,36.9067631,-82.7818275
8866,Loganville,PA,1430,39.8556564,-76.7074696
8867,Kingston,OK,1430,33.9987101,-96.7197217
8868,Hackleburg,AL,1430,34.2776095,-87.8284254
8869,Quinlan,TX,1429,32.9103998,-96.1355295
8870,Garrison,ND,1429,47.652223,-101.415717
8871,Pioneer,OH,1428,41.6800539,-84.5530136
8872,Bratenahl,OH,1428,41.556304,-81.60275574
8873,Williamsville,IL,1427,39.9542161,-89.5487126
8874,Saxonburg,PA,1426,40.7539956,-79.8103943
8875,Boyd,TX,1426,33.0788867,-97.5654422
8876,Cottonwood Shores,TX,1425,30.5557453,-98.3239126
8877,Colfax,LA,1425,31.5194077,-92.7068037
8878,Huntington Bay,NY,1425,40.8998203,-73.4148418
8879,Waterman,IL,1425,41.7716963,-88.7736942
8880,Smethport,PA,1425,41.8091097,-78.446264
8881,Bruceville-Eddy,TX,1424,31.3051725,-97.251671
8882,Burgettstown,PA,1422,40.3820133,-80.3928423
8883,Laingsburg,MI,1422,42.8915618,-84.3496697
8884,Tower City,PA,1421,40.5892808,-76.552385
8885,New Brockton,AL,1421,31.3857239,-85.9293861
8886,Kingsley,MI,1420,44.584658,-85.536115
8887,Saranac,MI,1419,42.9292232,-85.2129031
8888,Clara City,MN,1419,44.9549593,-95.3664045
8889,Park River,ND,1418,48.3986043,-97.7411999
8890,Montello,WI,1418,43.7913679,-89.3198414
8891,Marks,MS,1418,34.2565001,-90.2720375
8892,Fosston,MN,1417,47.5763481,-95.751415
8893,Booker,TX,1417,36.4533648,-100.5373673
8894,Earlham,IA,1415,41.4914439,-94.1229136
8895,Palo,IA,1414,42.0655932,-91.7966349
8896,Ceredo,WV,1414,38.393883,-82.5563574
8897,Bonduel,WI,1414,44.7402679,-88.4448243
8898,Maineville,OH,1413,39.315134,-84.2209419
8899,Helena,OK,1413,36.5461432,-98.2700706
8900,Belhaven,NC,1413,35.5401653,-76.6229874
8901,Belhaven,NC,1413,35.5401653,-76.6229874
8902,Palm Valley,TX,1412,26.2017416,-97.7541602
8903,Tracy City,TN,1412,35.2603569,-85.7360833
8904,Kilmarnock,VA,1411,37.7104146,-76.3796733
8905,Wilson,OK,1411,34.1620385,-97.4258551
8906,Three Oaks,MI,1410,41.7986545,-86.6105778
8907,Mount Airy,GA,1410,34.5187106,-83.5007265
8908,Oak Hill,OH,1409,38.8939646,-82.573495
8909,Sublette,KS,1409,37.4816911,-100.843773
8910,Stockdale,TX,1409,29.2339501,-97.9607748
8911,Troy,TN,1408,36.338677,-89.1639567
8912,Queen City,TX,1408,33.1487411,-94.150187
8913,Fulda,MN,1407,43.8705186,-95.6002856
8914,Sistersville,WV,1406,39.564242,-80.9959404
8915,Arma,KS,1405,37.5441621,-94.6968781
8916,Whitmire,SC,1404,34.5029146,-81.6114932
8917,Celina,TN,1404,36.5500611,-85.505247
8918,Brackettville,TX,1403,29.3135346,-100.415757
8919,Coldwater,MS,1403,34.6917684,-89.9773124
8920,Durand,IL,1403,42.4358914,-89.3319502
8921,Steelville,MO,1403,37.9680999,-91.354868
8922,Gordonsville,VA,1403,38.1373578,-78.187781
8923,Awendaw,SC,1402,33.0376703,-79.613127
8924,Hillsboro,WI,1402,43.6521958,-90.3440178
8925,Grandview,IL,1402,39.8174775,-89.61877877
8926,Fairview Park,IN,1402,39.6806906,-87.4163921
8927,Westport,IN,1402,39.1758853,-85.5730273
8928,Sarcoxie,MO,1402,37.0692266,-94.1166043
8929,Lone Star,TX,1402,32.941589,-94.7094584
8930,Biltmore Forest,NC,1401,35.5337246,-82.5284561
8931,Fraser,CO,1401,39.9472859,-105.815422
8932,De Soto,IL,1401,37.8175506,-89.2278613
8933,Wolfe City,TX,1401,33.368533,-96.0714818
